I0,I1
100.00000,142.99800
166.66701,143.07201
166.66701,143.14500
200.00000,143.32100
200.00000,143.49600
166.66701,143.56700
200.00000,143.74100
166.66701,143.81100
166.66701,143.88000
200.00000,144.05099
200.00000,144.22000
166.66701,144.28799
166.66701,144.35600
166.66701,144.42300
200.00000,144.58900
142.85699,144.58400
166.66701,144.64999
200.00000,144.81400
200.00000,144.97701
142.85699,144.97099
29.41200,144.63100
166.66701,144.69600
166.66701,144.75999
166.66701,144.82401
166.66701,144.88699
166.66701,144.95000
200.00000,145.10899
142.85699,145.10300
200.00000,145.26100
142.85699,145.25400
200.00000,145.41000
142.85699,145.40300
166.66701,145.46300
166.66701,145.52299
250.00000,145.81900
142.85699,145.81000
200.00000,145.96201
166.66701,146.02000
166.66701,146.07800
166.66701,146.13499
100.00000,146.00700
166.66701,146.06500
200.00000,146.21400
142.85699,146.20399
166.66701,146.26100
111.11100,146.16400
200.00000,146.31100
142.85699,146.30200
200.00000,146.44800
166.66701,146.50301
166.66701,146.55701
166.66701,146.61099
166.66701,146.66499
142.85699,146.65500
200.00000,146.79800
142.85699,146.78700
166.66701,146.84000
166.66701,146.89301
166.66701,146.94501
166.66701,146.99699
100.00000,146.87300
166.66701,146.92500
166.66701,146.97701
166.66701,147.02800
142.85699,147.01700
166.66701,147.06799
200.00000,147.20599
166.66701,147.25600
200.00000,147.39200
166.66701,147.44099
250.00000,147.70399
142.85699,147.69200
200.00000,147.82500
166.66701,147.87300
200.00000,148.00600
166.66701,148.05299
200.00000,148.18401
142.85699,148.17101
200.00000,148.30099
142.85699,148.28700
100.00000,148.16701
200.00000,148.29601
200.00000,148.42400
166.66701,148.47000
200.00000,148.59700
142.85699,148.58299
200.00000,148.71001
142.85699,148.69501
200.00000,148.82100
166.66701,148.86501
166.66701,148.90800
166.66701,148.95100
166.66701,148.99400
166.66701,149.03700
166.66701,149.08000
166.66701,149.12199
142.85699,149.10699
200.00000,149.22900
200.00000,149.35001
166.66701,149.39200
100.00000,149.27400
166.66701,149.31599
200.00000,149.43600
