I0,I1
0.00100,0.00100
27.77800,13.89000
25.64100,17.80700
26.31600,19.93400
23.25600,20.59800
27.02700,21.67000
23.81000,21.97500
26.31600,22.51800
23.25600,22.60000
27.02700,23.04300
23.25600,23.06200
27.02700,23.39200
23.81000,23.42500
26.31600,23.63100
23.81000,23.64300
26.31600,23.81000
23.25600,23.77700
12.65800,23.16000
100.00000,27.20400
35.71400,27.62900
21.27700,27.32700
30.30300,27.46200
23.81000,27.30300
26.31600,27.26200
23.25600,27.10200
27.02700,27.09900
23.81000,26.97700
26.31600,26.95400
23.81000,26.84500
26.31600,26.82800
23.25600,26.71200
25.00000,26.65900
25.00000,26.60900
13.51400,26.22300
100.00000,28.33100
29.41200,28.36100
23.81000,28.23800
27.02700,28.20600
23.25600,28.08000
27.02700,28.05300
21.27700,27.88800
30.30300,27.94500
23.25600,27.83600
23.81000,27.74500
27.02700,27.72900
26.31600,27.69800
23.25600,27.60400
25.00000,27.54900
25.00000,27.49700
26.31600,27.47400
16.39300,27.25600
58.82400,27.86400
25.00000,27.81000
25.64100,27.76900
23.81000,27.69700
25.64100,27.66100
25.00000,27.61400
25.64100,27.58000
23.81000,27.51600
25.64100,27.48500
22.22200,27.39900
28.57100,27.41700
24.39000,27.36900
25.00000,27.33200
25.64100,27.30600
25.00000,27.27100
25.00000,27.23700
25.00000,27.20500
25.00000,27.17300
25.00000,27.14200
25.00000,27.11100
25.00000,27.08200
25.00000,27.05400
25.00000,27.02600
25.00000,26.99900
25.00000,26.97300
25.00000,26.94700
25.64100,26.93000
23.81000,26.89100
25.00000,26.86700
22.72700,26.81600
28.57100,26.83700
25.00000,26.81500
25.00000,26.79400
25.00000,26.77200
25.64100,26.75900
23.81000,26.72500
25.64100,26.71300
25.00000,26.69400
25.64100,26.68200
23.81000,26.65100
25.64100,26.64000
24.39000,26.61500
25.64100,26.60500
24.39000,26.58200
25.00000,26.56500
25.64100,26.55600
25.00000,26.54000
25.00000,26.52400
25.00000,26.50900
22.72700,26.47200
28.57100,26.49200
24.39000,26.47200
25.00000,26.45800
25.00000,26.44400
25.64100,26.43600
24.39000,26.41700
23.81000,26.39300
25.64100,26.38600
25.64100,26.37900
24.39000,26.36100
25.00000,26.34900
25.64100,26.34300
25.64100,26.33700
23.81000,26.31500
