px,py,fx,fy,zx,zy,zs
0.25714,0.62571,0.42429,0.53857,1.00000,1.00000,1.00000
0.25571,0.62429,0.42286,0.53714,0.99017,1.00738,0.99881
0.25571,0.61857,0.42286,0.53143,0.93300,0.98168,0.95765
0.26000,0.61714,0.42714,0.53000,0.95213,0.97015,0.96118
0.26571,0.61429,0.43286,0.52714,0.95531,0.95769,0.95650
0.27143,0.61143,0.43857,0.52429,0.92398,0.90763,0.91584
0.26857,0.60857,0.43571,0.52143,0.91772,0.92478,0.92126
0.26286,0.60714,0.43000,0.52000,0.90345,0.93301,0.91835
0.25714,0.60571,0.42429,0.51857,0.90458,0.93846,0.92168
0.25571,0.60286,0.42286,0.51571,0.94093,0.94535,0.94314
0.25857,0.60143,0.42571,0.51429,0.95964,0.95954,0.95959
0.25857,0.60000,0.42571,0.51286,0.98131,0.98193,0.98162
0.25857,0.60143,0.42571,0.51429,0.98095,0.96933,0.97516
0.25857,0.60143,0.42571,0.51429,0.98058,0.97468,0.97764
0.25857,0.60143,0.42571,0.51429,0.98020,0.98701,0.98361
0.26000,0.60000,0.42714,0.51286,0.98990,0.99342,0.99166
0.26000,0.60000,0.42714,0.51286,1.00000,1.00000,1.00000
0.26000,0.60000,0.42714,0.51286,1.00000,1.00000,1.00000
0.26000,0.60000,0.42714,0.51286,1.00000,1.00000,1.00000
0.26000,0.60000,0.42714,0.51286,1.00000,1.00000,1.00000
0.25714,0.60000,0.42429,0.51286,1.01531,1.00000,1.00768
0.25000,0.60286,0.41714,0.51571,1.07035,1.03973,1.05515
0.26143,0.59571,0.42857,0.50857,1.16432,1.16560,1.16496
0.27571,0.59286,0.44286,0.50571,1.12903,1.07104,1.10042
0.27571,0.59286,0.44286,0.50571,1.05714,1.06633,1.06175
0.27571,0.59143,0.44286,0.50429,1.04054,1.05742,1.04901
0.27286,0.59286,0.44000,0.50571,1.02597,1.05430,1.04023
0.26714,0.59714,0.43429,0.51000,1.02215,1.03434,1.02826
0.26286,0.60000,0.43000,0.51286,1.02477,1.05394,1.03946
0.25714,0.60143,0.42429,0.51429,1.04834,1.09449,1.07166
0.25429,0.60143,0.42143,0.51429,1.03746,1.06475,1.05120
0.25143,0.60143,0.41857,0.51429,1.03333,1.04054,1.03694
0.25143,0.60143,0.41857,0.51429,1.03226,1.02597,1.02912
0.25143,0.60143,0.41857,0.51429,1.02604,1.02215,1.02410
0.25000,0.60286,0.41714,0.51571,1.02284,1.02167,1.02226
0.25000,0.60286,0.41714,0.51571,1.01489,1.01515,1.01502
0.25000,0.60286,0.41714,0.51571,1.01223,1.01194,1.01208
0.25000,0.60286,0.41714,0.51571,1.00000,1.00000,1.00000
0.25000,0.60286,0.41714,0.51571,1.00483,1.00885,1.00684
0.25000,0.60286,0.41714,0.51571,1.00000,1.00000,1.00000
0.25000,0.60143,0.41714,0.51429,1.00000,1.00877,1.00440
0.25000,0.60143,0.41714,0.51429,1.00000,1.00000,1.00000
0.25000,0.60143,0.41714,0.51429,1.00000,1.00000,1.00000
0.25000,0.60143,0.41714,0.51429,1.00000,1.00000,1.00000
0.25857,0.59857,0.42571,0.51143,0.94471,0.96232,0.95356
0.25857,0.59857,0.42571,0.51143,1.00000,1.00000,1.00000
0.26857,0.59000,0.43571,0.50286,0.86260,0.84940,0.85602
0.28000,0.57714,0.44714,0.49000,0.88496,0.86525,0.87516
0.28286,0.57286,0.45000,0.48571,0.94000,0.95082,0.94542
0.28714,0.56857,0.45429,0.48143,0.97163,0.97414,0.97289
0.28857,0.56429,0.45571,0.47714,0.95985,0.96018,0.96002
0.29143,0.56000,0.45857,0.47286,0.95057,0.93548,0.94306
0.29000,0.55857,0.45714,0.47143,0.96400,0.96059,0.96230
0.28571,0.56143,0.45286,0.47429,0.96680,0.97436,0.97059
0.28000,0.56143,0.44714,0.47429,0.93991,0.96842,0.95427
0.27571,0.56286,0.44286,0.47571,0.95890,0.96739,0.96316
0.27143,0.56571,0.43857,0.47857,0.96667,0.96629,0.96648
0.27000,0.56714,0.43714,0.48000,0.96059,0.97093,0.96578
0.27143,0.56714,0.43857,0.48000,0.97436,0.98802,0.98122
0.26857,0.56857,0.43571,0.48143,0.98421,0.99394,0.98909
0.26857,0.56857,0.43571,0.48143,1.00000,1.00000,1.00000
0.26857,0.56857,0.43571,0.48143,1.00000,1.00000,1.00000
0.26857,0.56857,0.43571,0.48143,1.00000,1.00000,1.00000
0.26857,0.56857,0.43571,0.48143,1.00000,1.00000,1.00000
0.26857,0.56857,0.43571,0.48143,1.00000,1.00000,1.00000
0.26857,0.56857,0.43571,0.48143,1.00000,1.00000,1.00000
0.26714,0.56857,0.43429,0.48143,1.01069,1.00000,1.00536
0.26143,0.57000,0.42857,0.48286,1.05291,1.01219,1.03275
0.25857,0.57000,0.42571,0.48286,1.05025,1.03012,1.04024
0.25714,0.57286,0.42429,0.48571,1.12440,1.05848,1.09194
0.26429,0.57571,0.43143,0.48857,1.11915,1.07182,1.09574
0.27000,0.57857,0.43714,0.49143,1.09886,1.09278,1.09583
0.26857,0.58286,0.43571,0.49571,1.06920,1.13207,1.10109
0.26429,0.58571,0.43143,0.49857,1.03884,1.07083,1.05496
0.26000,0.58857,0.42714,0.50143,1.03738,1.07782,1.05780
0.25000,0.59571,0.41714,0.50857,1.05405,1.08664,1.07047
0.24286,0.60143,0.41000,0.51429,1.04843,1.06644,1.05748
0.23571,0.60857,0.40286,0.52143,1.02989,1.03738,1.03364
0.23429,0.61143,0.40143,0.52429,1.02375,1.03303,1.02840
0.23286,0.61286,0.40000,0.52571,1.02062,1.01744,1.01903
0.23286,0.61286,0.40000,0.52571,1.00000,1.00000,1.00000
0.23286,0.61143,0.40000,0.52429,1.00758,1.00857,1.00807
0.23000,0.61429,0.39714,0.52714,1.01754,1.02266,1.02011
0.23000,0.61429,0.39714,0.52714,1.00000,1.00000,1.00000
0.22857,0.61714,0.39571,0.53000,1.00985,1.00831,1.00908
0.22857,0.61714,0.39571,0.53000,1.00000,1.00000,1.00000
0.22286,0.62000,0.39000,0.53286,1.01707,1.01099,1.01404
0.22286,0.62000,0.39000,0.53286,1.00000,1.00000,1.00000
0.22286,0.62000,0.39000,0.53286,1.00000,1.00000,1.00000
0.22286,0.62000,0.39000,0.53286,1.00000,1.00000,1.00000
0.23429,0.61429,0.40143,0.52714,0.95683,0.98098,0.96898
0.23429,0.61429,0.40143,0.52714,1.00000,1.00000,1.00000
0.26143,0.59143,0.42857,0.50429,0.89223,0.88643,0.88933
0.27571,0.57714,0.44286,0.49000,0.92135,0.87500,0.89847
0.28286,0.57000,0.45000,0.48286,0.96342,0.94286,0.95319
0.28714,0.56571,0.45429,0.47857,0.96202,0.95076,0.95641
0.28571,0.56714,0.45286,0.48000,0.98355,0.98008,0.98182
0.29000,0.56286,0.45714,0.47571,0.93646,0.93902,0.93774
0.29143,0.56000,0.45857,0.47286,0.95000,0.93939,0.94471
0.28857,0.55857,0.45571,0.47143,0.94361,0.94009,0.94185
0.28143,0.55857,0.44857,0.47143,0.92032,0.94118,0.93081
0.27286,0.56000,0.44000,0.47286,0.93506,0.97396,0.95471
0.26714,0.56286,0.43429,0.47571,0.93056,0.94118,0.93588
0.26857,0.56143,0.43571,0.47429,0.99005,0.98295,0.98651
0.26857,0.56286,0.43571,0.47571,0.95980,0.95376,0.95678
0.26857,0.56143,0.43571,0.47429,0.97382,0.97576,0.97479
0.26714,0.56000,0.43429,0.47286,0.98925,0.97515,0.98223
0.26714,0.56000,0.43429,0.47286,1.00000,1.00000,1.00000
0.26714,0.56000,0.43429,0.47286,0.99457,0.99363,0.99410
0.26714,0.55857,0.43429,0.47143,1.00000,0.99359,0.99680
0.26714,0.55857,0.43429,0.47143,1.00000,1.00000,1.00000
0.26714,0.55857,0.43429,0.47143,1.00000,1.00000,1.00000
0.26714,0.55857,0.43429,0.47143,1.00000,1.00000,1.00000
0.26714,0.55857,0.43429,0.47143,1.00000,1.00000,1.00000
0.26714,0.55857,0.43429,0.47143,1.00000,1.00000,1.00000
0.26714,0.55857,0.43429,0.47143,1.00000,1.00000,1.00000
0.26714,0.55857,0.43429,0.47143,1.00546,1.00000,1.00274
0.26571,0.56000,0.43286,0.47286,1.01087,1.01290,1.01189
0.26000,0.56571,0.42714,0.47857,1.05914,1.06369,1.06142
0.26143,0.56714,0.42857,0.48000,1.09645,1.11377,1.10514
0.28143,0.55000,0.44857,0.46286,1.25463,1.28495,1.26988
0.28000,0.55143,0.44714,0.46429,1.05166,1.05858,1.05512
0.27714,0.55714,0.44429,0.47000,1.03158,1.03953,1.03556
0.27429,0.56143,0.44143,0.47429,1.04422,1.05703,1.05064
0.27143,0.56429,0.43857,0.47714,1.03257,1.05396,1.04332
0.26143,0.57429,0.42857,0.48714,1.04416,1.06485,1.05456
0.25571,0.57857,0.42286,0.49143,1.03323,1.04808,1.04068
0.24857,0.58429,0.41571,0.49714,1.03216,1.03058,1.03137
0.24286,0.58857,0.41000,0.50143,1.03116,1.02671,1.02894
0.23857,0.59286,0.40571,0.50571,1.02747,1.02312,1.02530
0.23286,0.59571,0.40000,0.50857,1.01872,1.01695,1.01783
0.23000,0.59714,0.39714,0.51000,1.01575,1.01389,1.01482
0.23000,0.59714,0.39714,0.51000,1.00000,1.00000,1.00000
0.22714,0.59857,0.39429,0.51143,1.01034,1.01096,1.01065
0.22714,0.59857,0.39429,0.51143,1.00000,1.00000,1.00000
0.22429,0.60000,0.39143,0.51286,1.01023,1.00271,1.00648
0.22429,0.60000,0.39143,0.51286,1.00000,1.00000,1.00000
0.22429,0.60000,0.39143,0.51286,1.00000,1.00270,1.00135
0.22429,0.60000,0.39143,0.51286,1.00000,1.00000,1.00000
0.22714,0.60000,0.39429,0.51286,0.99240,0.99730,0.99486
0.22714,0.60000,0.39429,0.51286,1.00000,1.00000,1.00000
0.24714,0.58714,0.41429,0.50000,0.92092,0.94595,0.93352
0.24714,0.58714,0.41429,0.50000,1.00000,1.00000,1.00000
0.25714,0.57857,0.42429,0.49143,0.94737,0.93143,0.93943
0.24571,0.57000,0.41286,0.48286,0.84503,0.84969,0.84736
0.23143,0.57000,0.39857,0.48286,0.88927,0.91336,0.90140
0.23286,0.56714,0.40000,0.48000,0.96498,0.94466,0.95488
0.23571,0.56000,0.40286,0.47286,0.94758,0.92887,0.93827
0.24000,0.55429,0.40714,0.46714,0.95319,0.92342,0.93843
0.24571,0.54571,0.41286,0.45857,0.95982,0.92683,0.94347
0.24857,0.54000,0.41571,0.45286,0.96279,0.91053,0.93702
0.25143,0.53857,0.41857,0.45143,0.96135,0.89017,0.92645
0.25000,0.54000,0.41714,0.45286,0.97990,0.96753,0.97374
0.24857,0.54000,0.41571,0.45286,0.96923,0.95302,0.96116
0.24857,0.53857,0.41571,0.45143,0.99471,0.97887,0.98682
0.24857,0.53857,0.41571,0.45143,1.00000,0.99281,0.99641
0.24857,0.53857,0.41571,0.45143,1.00000,1.00000,1.00000
0.24857,0.53857,0.41571,0.45143,0.99468,1.00000,0.99734
0.24857,0.53857,0.41571,0.45143,1.00000,1.00000,1.00000
0.24857,0.53857,0.41571,0.45143,1.00535,1.00000,1.00268
0.24571,0.54429,0.41286,0.45714,1.02128,1.05797,1.03979
0.23571,0.55857,0.40286,0.47143,1.08333,1.15753,1.12105
0.22857,0.56714,0.39571,0.48000,1.05289,1.11243,1.08307
0.22286,0.57286,0.39000,0.48571,1.08219,1.13830,1.11060
0.21857,0.57429,0.38571,0.48714,1.04641,1.07009,1.05832
0.21286,0.57571,0.38000,0.48857,1.04032,1.06550,1.05299
0.20429,0.57571,0.37143,0.48857,1.06589,1.11066,1.08850
0.20000,0.57714,0.36714,0.49000,1.05455,1.07380,1.06422
0.19714,0.57857,0.36429,0.49143,1.05517,1.06186,1.05852
0.19571,0.58143,0.36286,0.49429,1.04902,1.03884,1.04394
0.19857,0.58429,0.36571,0.49714,1.03427,1.02804,1.03116
0.20000,0.58714,0.36714,0.50000,1.03012,1.02727,1.02870
0.19857,0.59143,0.36571,0.50429,1.02632,1.02360,1.02496
0.20000,0.59571,0.36714,0.50857,1.01709,1.01441,1.01575
0.20143,0.59571,0.36857,0.50857,1.01120,1.00000,1.00562
0.20143,0.59571,0.36857,0.50857,1.00000,1.00000,1.00000
0.20286,0.59714,0.37000,0.51000,1.00277,1.00568,1.00423
0.20143,0.59571,0.36857,0.50857,1.00829,1.00283,1.00556
0.20143,0.59571,0.36857,0.50857,1.00274,1.00000,1.00137
0.20143,0.59571,0.36857,0.50857,1.00000,1.00000,1.00000
0.20143,0.59571,0.36857,0.50857,0.99727,1.00000,0.99863
