I0,I1
3499,0
3514,0
3498,0
3498,0
3511,0
3496,0
3496,0
3497,0
3495,0
3508,0
3494,0
3493,0
3507,0
3492,0
3491,0
3505,0
3491,0
3504,0
3490,0
3489,0
3503,0
3488,0
3487,0
3496,0
3486,0
3499,0
3485,0
3484,0
3498,0
3484,0
3483,0
3496,0
3482,0
3495,0
3481,0
3480,0
3494,0
3478,0
4011,1
4069,2
3991,3
4031,4
4036,5
3984,6
3992,7
3991,7
3994,8
3999,9
3998,10
4002,11
4003,12
3997,13
4000,14
4000,14
4004,15
4009,16
4009,17
4014,18
4017,18
4017,19
4024,20
4024,21
4028,21
4035,22
4036,23
4041,24
4049,25
4049,25
4057,26
4057,27
4063,28
4071,29
4075,30
4080,30
4088,31
4091,32
4099,33
4103,34
4110,35
4119,36
4119,37
4127,38
4137,39
4140,40
4151,41
4154,42
4162,43
4173,44
4176,45
4183,46
4195,47
4197,48
4207,49
4215,50
4220,51
4233,52
4238,53
4246,54
4257,55
4261,56
4273,57
4281,58
4285,59
4281,60
4282,61
4290,62
4308,63
4311,64
4318,65
4331,66
4326,67
4339,68
4345,69
4343,70
4354,71
4351,72
4356,73
4365,74
4363,74
4374,75
4379,76
4376,77
4386,78
4383,79
4388,79
4394,80
4392,81
4394,82
4395,82
4394,83
4396,84
4394,84
4394,85
4396,86
4396,86
4395,87
4397,87
4396,88
4396,89
4396,89
4396,90
4396,90
4396,91
4395,91
4396,91
4396,92
4396,92
4354,93
4395,93
4395,93
4395,94
4394,94
4259,94
4394,94
4394,95
4393,95
4394,95
4393,95
4259,95
4260,96
4394,96
4386,96
