I0,I1,I2,I3,I4,I5,I6
9.28571,100.57143,52.28571,57.42857,2.75294,199.97975,254.34900
9.14286,101.00000,52.14286,57.85714,2.62353,191.74089,243.13243
9.14286,101.71429,52.14286,58.57143,2.43529,176.76114,224.91417
9.14286,102.14286,52.14286,59.00000,2.27059,167.77328,211.59866
9.14286,102.28572,52.14286,59.14286,2.03529,158.78543,195.03909
9.57143,102.28572,52.57143,59.14286,1.92941,155.78949,188.15361
9.85714,102.42857,52.85714,59.28571,1.69412,149.04858,172.76886
9.85714,102.71429,52.85714,59.57143,1.50588,143.05669,159.81529
9.71429,102.85715,52.71429,59.71429,1.42353,139.31175,153.37042
9.42857,102.71429,52.42857,59.57143,1.30588,134.06883,144.18811
9.14286,102.85715,52.14286,59.71429,1.23529,127.32794,136.66656
9.14286,102.85715,52.14286,59.71429,1.20000,123.58299,132.70439
9.14286,102.85715,52.14286,59.71429,1.20000,123.58299,132.70439
9.14286,103.00000,52.14286,59.85714,1.20000,122.83400,132.30287
9.14286,103.00000,52.14286,59.85714,1.20000,122.83400,132.30287
8.71429,103.00000,51.71428,59.85714,1.31765,125.82995,140.48625
8.71429,103.00000,51.71428,59.85714,1.31765,125.82995,140.48625
8.14286,101.00000,51.14286,57.85714,2.34118,171.51820,222.46112
9.57143,99.57143,52.57143,56.42857,2.71765,195.48581,255.90131
10.28571,99.42857,53.28571,56.28571,2.91765,207.46960,273.16583
11.42857,99.14285,54.42857,56.00000,3.25882,229.19025,303.44116
11.85714,99.00000,54.85714,55.85715,3.47059,244.17000,323.21664
11.71429,98.71429,54.71429,55.57143,3.61176,258.40079,339.22137
12.14286,98.57143,55.14286,55.42857,3.90588,277.87445,365.81702
12.42857,98.71429,55.42857,55.57143,4.12941,287.61127,382.71539
12.71429,98.57143,55.71429,55.42857,4.29412,297.34808,396.82779
12.57143,98.85714,55.57143,55.71429,4.36471,303.34000,404.08835
13.14286,98.85714,56.14285,55.71429,4.63529,319.81772,427.59204
13.42857,99.00000,56.42857,55.85715,4.82353,333.29947,445.28674
13.57143,99.00000,56.57143,55.85715,4.98823,348.27921,462.90192
13.57143,99.14285,56.57143,56.00000,5.16470,363.25897,481.04816
13.85714,99.14285,56.85714,56.00000,5.36471,376.74075,499.28918
14.00000,99.00000,57.00000,55.85715,5.60000,388.72452,518.18817
14.14286,99.00000,57.14286,55.85715,5.81176,399.95932,535.47906
14.00000,99.00000,57.00000,55.85715,6.03529,411.19412,553.30450
13.85714,99.00000,56.85714,55.85715,6.37647,426.17389,579.04883
13.71428,99.00000,56.71428,55.85715,6.57647,432.91473,592.72638
13.85714,98.85714,56.85714,55.71429,6.74118,438.15765,603.75006
14.28572,98.71429,57.28571,55.57143,6.82353,441.90265,610.01904
13.85714,98.85714,56.85714,55.71429,6.90588,444.89862,615.77014
13.85714,98.71429,56.85714,55.57143,7.03529,450.14154,625.17163
13.71428,98.71429,56.71428,55.57143,7.15294,456.13342,634.56061
13.42857,98.85714,56.42857,55.71429,7.25882,461.37634,642.90497
13.42857,98.85714,56.42857,55.71429,7.25882,461.37634,642.90497
13.28571,98.85714,56.28571,55.71429,7.34118,464.37225,648.64117
13.28571,98.85714,56.28571,55.71429,7.34118,464.37225,648.64117
13.14286,98.85714,56.14285,55.71429,7.42353,468.86615,655.41815
13.14286,98.85714,56.14285,55.71429,7.42353,468.86615,655.41815
13.28571,99.00000,56.28571,55.85715,7.47059,472.61108,660.11322
13.28571,99.00000,56.28571,55.85715,7.47059,472.61108,660.11322
13.28571,99.00000,56.28571,55.85715,7.47059,472.61108,660.11322
13.28571,99.00000,56.28571,55.85715,7.47059,472.61108,660.11322
13.28571,99.00000,56.28571,55.85715,7.47059,472.61108,660.11322
13.28571,99.00000,56.28571,55.85715,7.47059,472.61108,660.11322
